Observed,Predicted,LowerBound,UpperBound,Anomalous,Error,Threshold
743.096,nan,nan,nan,0,nan,0.0038
742.817,nan,nan,nan,0,nan,0.0038
741.983,nan,nan,nan,0,nan,0.0038
741.202,nan,nan,nan,0,nan,0.0038
740.74,nan,nan,nan,0,nan,0.0038
739.697,nan,nan,nan,0,nan,0.0038
738.737,nan,nan,nan,0,nan,0.0038
737.973,nan,nan,nan,0,nan,0.0038
737.026,nan,nan,nan,0,nan,0.0038
736.408,nan,nan,nan,0,nan,0.0038
736.169,nan,nan,nan,0,nan,0.0038
735.909,nan,nan,nan,0,nan,0.0038
735.886,nan,nan,nan,0,nan,0.0038
736.181,nan,nan,nan,0,nan,0.0038
736.745,nan,nan,nan,0,nan,0.0038
737.229,nan,nan,nan,0,nan,0.0038
738.016,nan,nan,nan,0,nan,0.0038
738.808,nan,nan,nan,0,nan,0.0038
739.978,nan,nan,nan,0,nan,0.0038
740.228,nan,nan,nan,0,nan,0.0038
740.857,nan,nan,nan,0,nan,0.0038
741.408,nan,nan,nan,0,nan,0.0038
741.714,nan,nan,nan,0,nan,0.0038
741.718,nan,nan,nan,0,nan,0.0038
741.876,nan,nan,nan,0,nan,0.0038
741.259,nan,nan,nan,0,nan,0.0038
740.699,nan,nan,nan,0,nan,0.0038
740.325,nan,nan,nan,0,nan,0.0038
739.598,nan,nan,nan,0,nan,0.0038
738.247,nan,nan,nan,0,nan,0.0038
738.048,nan,nan,nan,0,nan,0.0038
736.929,nan,nan,nan,0,nan,0.0038
736.072,nan,nan,nan,0,nan,0.0038
735.006,nan,nan,nan,0,nan,0.0038
735.2,nan,nan,nan,0,nan,0.0038
734.647,nan,nan,nan,0,nan,0.0038
734.583,nan,nan,nan,0,nan,0.0038
734.438,nan,nan,nan,0,nan,0.0038
734.862,nan,nan,nan,0,nan,0.0038
735.453,nan,nan,nan,0,nan,0.0038
736.494,nan,nan,nan,0,nan,0.0038
737.512,nan,nan,nan,0,nan,0.0038
738.63,nan,nan,nan,0,nan,0.0038
738.911,nan,nan,nan,0,nan,0.0038
739.089,nan,nan,nan,0,nan,0.0038
739.952,nan,nan,nan,0,nan,0.0038
740.152,nan,nan,nan,0,nan,0.0038
740.514,nan,nan,nan,0,nan,0.0038
740.566,nan,nan,nan,0,nan,0.0038
740.807,nan,nan,nan,0,nan,0.0038
