observed,predicted,low,high,anomalous,actual_anomaly,err,threshold
754.791,766.629,752.385,780.872,0,0,0.2,0.28487
755.983,766.997,752.71,781.285,0,0,0.2,0.285752
757.078,767.804,753.608,782.001,0,0,0.2,0.283929
757.929,767.278,753.245,781.311,0,0,0.186976,0.280659
758.88,767.641,753.48,781.802,0,0,0.175227,0.283219
759.694,767.565,753.573,781.557,0,0,0.157425,0.279835
760.451,768.038,754.117,781.96,0,0,0.151747,0.278424
760.752,768.816,755.105,782.527,0,0,0.161271,0.27422
760.708,768.029,754.432,781.626,0,0,0.146417,0.271941
760.099,767.902,754.632,781.172,0,0,0.156055,0.265396
759.376,768.775,755.327,782.223,0,0,0.187983,0.268962
758.53,767.873,754.443,781.302,0,0,0.18685,0.268588
757.336,769.182,755.838,782.526,0,0,0.2,0.266883
756,768.299,754.757,781.841,0,0,0.2,0.270841
754.876,768.881,755.286,782.477,0,0,0.2,0.271913
753.78,768.594,754.83,782.359,0,0,0.2,0.27528
752.892,768.54,754.698,782.383,0,0,0.2,0.276851
751.975,768.945,755.285,782.605,0,0,0.2,0.273207
751.198,768.877,755.003,782.75,0,0,0.2,0.277472
750.854,768.337,754.55,782.123,0,0,0.2,0.275729
751.055,768.905,755.161,782.649,0,0,0.2,0.274887
751.646,767.885,753.995,781.776,0,0,0.2,0.277805
752.422,767.723,753.905,781.541,0,0,0.2,0.276369
753.298,767.938,754.285,781.591,0,0,0.2,0.273059
754.343,768.069,754.051,782.086,0,0,0.2,0.280349
755.448,767.421,753.628,781.215,0,0,0.2,0.27587
756.569,768.542,754.526,782.558,0,0,0.2,0.28032
757.714,768.586,754.711,782.461,0,0,0.2,0.277497
758.794,767.375,753.496,781.254,0,0,0.17162,0.277576
759.356,769.193,755.287,783.1,0,0,0.19675,0.278136
759.909,769.344,755.754,782.934,0,0,0.188702,0.271792
760.492,769.075,755.15,782.999,0,0,0.171655,0.278489
760.369,769.118,755.439,782.796,0,0,0.17497,0.273572
759.99,768.396,754.903,781.89,0,0,0.168125,0.269867
759.32,769.226,755.547,782.904,0,0,0.198111,0.273574
758.533,769.387,755.912,782.862,0,0,0.2,0.269496
757.388,769.686,756.271,783.101,0,0,0.2,0.268308
756.299,769.585,755.608,783.563,0,0,0.2,0.279547
754.71,768.946,755.183,782.71,0,0,0.2,0.275269
753.539,768.739,755.099,782.379,0,0,0.2,0.272792
752.255,769.413,755.622,783.205,0,0,0.2,0.275829
751.524,768.595,754.8,782.39,0,0,0.2,0.275903
750.591,768.681,754.716,782.645,0,0,0.2,0.279289
749.653,768.643,754.717,782.569,0,0,0.2,0.278523
749.277,767.94,753.882,781.998,0,0,0.2,0.281163
749.753,767.167,753.186,781.148,0,0,0.2,0.279626
750.239,767.54,753.492,781.588,0,0,0.2,0.28096
751.116,768.072,754.13,782.014,0,0,0.2,0.278834
752.16,767.506,753.437,781.574,0,0,0.2,0.281377
753.438,767.899,753.797,782.002,0,0,0.2,0.282045
754.556,766.638,752.556,780.72,0,0,0.2,0.281634
755.842,767.972,753.941,782.004,0,0,0.2,0.280629
756.805,768.81,754.516,783.103,0,0,0.2,0.285862
757.796,767.983,754.021,781.944,0,0,0.2,0.279238
758.799,768.302,754.057,782.547,0,0,0.190066,0.284898
759.761,767.47,753.512,781.429,0,0,0.154187,0.279172
760.228,768.841,754.778,782.903,0,0,0.172249,0.281243
760.24,769.402,755.641,783.162,0,0,0.183235,0.275215
759.835,769.071,755.329,782.813,0,0,0.184716,0.274844
759.235,768.302,754.565,782.039,0,0,0.181337,0.274737
758.48,769.111,755.294,782.928,0,0,0.2,0.276341
757.221,769.231,755.376,783.086,0,0,0.2,0.277104
755.654,769.247,755.264,783.23,0,0,0.2,0.279654
754.441,769.881,756.15,783.612,0,0,0.2,0.274617
753.303,769.47,755.62,783.321,0,0,0.2,0.277017
752.338,769.278,755.63,782.927,0,0,0.2,0.272971
